"Date"	"Price..Open."	"Price..High."	"Price..Low."	"Price..Close."	"Real.Volume"	"Circulating.Marketcap"	"Marketcap.Dominance"
"2099"	2018-09-11	6302.87462193118	6394.88019244585	6155.89482946542	6279.71762495344	657999470.759382	108839130831.64	58.9085968558185
"2098"	2018-09-12	6276.9905518358	6350.56636834494	6189.74407359049	6330.3213739372	588441704.232742	108405343525.437	59.8502783114493
"2097"	2018-09-13	6327.14869394754	6530.2676497849	6317.16020006898	6479.6086005133	748091921.914324	109283294898.896	60.2091297631585
"2096"	2018-09-14	6477.50457572517	6579.19087525133	6378.93119612089	6473.72124444422	640782516.359106	111890949870.989	58.9414578978255
"2095"	2018-09-15	6479.18027192005	6566.04356155229	6455.28109873335	6512.87157449426	348238936.191315	111931235321.142	59.1611790137055
"2094"	2018-09-16	6520.23457290143	6521.97765905922	6356.14032894762	6493.54877632367	362388117.275505	112651800124.338	58.6334969047696
"2093"	2018-09-17	6497.21507028883	6532.22130691605	6188.24199060346	6245.89784317336	675261254.25703	112265051899.02	58.2954911610237
"2092"	2018-09-18	6246.43944595907	6374.07382203714	6203.05416610286	6315.90348082429	659188499.484965	107943001860.576	59.3630695808517
"2091"	2018-09-19	6331.49032294321	6518.14113520558	6107.2645699063	6387.99288530868	943962024.221198	109425090538.096	58.441746520237
"2090"	2018-09-20	6387.74844273958	6535.06038650709	6327.1964893568	6488.12037836681	670657983.844343	110409679228.848	58.4262379048948
"2089"	2018-09-21	6489.61425907612	6776.62851226566	6479.67599610898	6754.21104390706	1257157723.57395	112182072938.356	56.6819696964244
"2088"	2018-09-22	6754.09007979646	6825.54597146277	6624.69301064715	6713.33321008937	655778264.965597	116766995588.738	55.2997883775941
"2087"	2018-09-23	6715.67267749913	6778.03822155697	6659.25584506727	6696.30252502504	519135942.814142	116115415687.937	55.7447208625847
"2086"	2018-09-24	6703.0315435661	6723.18144414463	6547.22327565716	6577.54920418775	704449378.813091	115909249791.317	55.147602017614
"2085"	2018-09-25	6577.9433883406	6579.14409072199	6321.92005015294	6436.00293385931	918607547.452077	113760114609.082	56.3905777000197
"2084"	2018-09-26	6433.14110713899	6548.62160868878	6373.98402512268	6451.98116874061	663955089.082432	111267057155.996	56.2410457574834
"2083"	2018-09-27	6450.07313430654	6731.50401016373	6418.15341877893	6677.14453172807	766245343.025664	111571443051.9	56.2881495503862
"2082"	2018-09-28	6689.27741793853	6800.48896412712	6533.28654376604	6627.6058077633	1040980572.86577	115722006044.854	55.5902051559891
"2081"	2018-09-29	6627.82881954273	6628.67121231871	6454.57041972465	6579.44054408335	624808197.318869	114671564291.672	55.9436126227613
"2080"	2018-09-30	6581.71632066036	6647.56623458166	6509.68079520734	6604.39634415947	509188545.808319	113887159368.244	55.3527937658595
"2079"	2018-10-01	6612.41443787639	6645.46056669508	6486.75085654286	6578.08041589763	573388239.132396	114431407799.819	55.2945116010593
"2078"	2018-10-02	6575.88207057833	6614.6028018008	6383.97692493379	6485.40282814056	631881198.469936	113810458906.864	55.2980062718072
